Transect,Biomass_g,MAD_mm,Length_mm,Angle_degree,Abundance,Latitude,Longitude,Management,Aspect,Bathymetry,BPI,BPI_240,Cos_aspect,Dist_shore,Planar_curvature,CCA_cover,Coral_cover,Macroalgae_cover,Soft_cover,Turf_cover,Profile_curvature,Proximity_index,Diversity,Sin_aspect,Slope,Slope_240,Slope_of_slope,Slope_of_slope_240,Wave_power,Site
PUP020,13.19063923,382.5763733,199.3303,14.87806667,30,21.64315,-158.06727,1,0.811577,-12.4090996,-0.0425486,-0.772019,-0.230289,204.4140015,-1.18366,0,0,0,58.5713997,41.4286003,0.206679,0,0.455196,-0.955218,3.4533701,22.9435005,9.2181797,59.7318993,14228.7998,PUP
PUP023,27.16653133,355.2234353,194.3714706,14.53988235,17,21.65135,-158.06537,1,1.16257,-10.7178001,0.815263,1.75889,0.524485,134.3309937,0.208843,0,52.4894981,47.4445992,0,0,0.182011,0.434041,0.525292,-0.838359,7.9797802,28.6380997,27.031601,65.2714996,15747.2998,PUP
PUP024,149.007448,403.190659,292.3516154,14.56382051,39,21.64679,-158.06469,1,1.4896899,-1.52351,0.473459,2.8213899,0.659142,22.6492996,-3.34795,0,0,73.9315033,0,10.2052002,0.556768,0.584656,0.215436,-0.618824,4.1575999,21.3771,14.2727003,60.6161003,15162.5,PUP
PUP025,35.99509333,512.0091091,175.3328182,12.25586364,22,21.64583,-158.06777,1,0.739057,-13.7182999,0.381084,-0.356139,-0.0361214,305.7019958,0.958809,0,37.2900009,0,0,62.6749992,0.151727,0.0023979,0.465171,-0.995398,7.8888698,24.1665001,23.3118,63.4313011,15236.40039,PUP
PUP029,24.31944913,329.1701545,204.1250909,9.062727273,11,21.64215,-158.06486,1,0.87431,-7.3857799,-0.0730973,-0.261135,-0.164496,136.1519928,-3.1974299,0,0,0,35.412899,64.5870972,0.0683541,0.0082198,0.424054,-0.864213,3.6989,16.9521008,6.76791,52.323101,13857.2002,PUP
PUP030,30.68437868,531.4324071,242.5042143,12.53021429,14,21.65038,-158.06445,1,0.68296,-3.9372599,2.3492301,4.8934398,0.119365,19.4528999,-0.637783,0,4.00632,41.0581017,0,17.8013992,0.562856,1.01018,0.333209,-0.981565,12.4378996,28.6376991,28.9043999,65.268898,15629.09961,PUP
PUP032,8.694047725,488.68865,215.313875,16.9355,8,21.65337,-158.0631,1,0.665578,-5.9527302,1.1936001,4.0626001,0.652287,49.3745995,-1.97154,0,0,54.6288986,0,0,1.00576,0.383272,0,-0.632533,11.151,38.2154999,30.2446995,71.0057983,15798.59961,PUP
PUP034,0.41087866,410.0351,207.103,11.3345,2,21.64765,-158.06372,1,1.2475899,-0.911453,0.495136,2.6277201,0.725699,63.2759018,-1.4258699,0,0,55.2142982,2.29E-04,0,0.0303301,0.0950543,1.40E-05,-0.66397,1.68677,18.7674999,5.6378002,55.8347015,15234.09961,PUP
PUP036,31.54047153,735.4406917,236.4688333,9.947416667,12,21.64709,-158.06681,1,1.12059,-9.8850203,0.338182,0.842124,0.141467,208.2180023,-1.2249399,0,63.7290001,0.0182086,0,36.2528,0.0293298,0.695983,0.36903,-0.970575,4.5393,24.7658005,17.7924995,64.3899994,15367.90039,PUP
PUP037,18.20914767,510.51345,208.0975,16.99366667,6,21.65297,-158.06408,1,0.732303,-10.0790005,0.0634659,1.48203,0.324432,101.7279968,-0.813975,0,25.5694008,73.3479004,0,0,0.1283,0.0287015,0.348082,-0.937633,4.4197102,38.2154999,14.1450005,71.0057983,15803.7998,PUP
PUP069,0,NA,NA,NA,1,21.63336,-158.0749,0,0.339494,-3.6789899,0.0408555,0.96839,-0.0943957,277.4060059,0.0619965,0,0,99.0995026,0.900487,0,-0.0100063,0.0684955,0.0316594,-0.954788,1.42195,12.5080996,2.59688,42.9426994,13232.09961,PUP
PUP072,0,NA,NA,NA,1,21.63494,-158.07187,0,1.1126699,-3.4322901,0.0320226,0.266422,-0.429738,126.6389999,-3.0232799,0,0,99.9391022,0,0,0.0962844,0,0,0.18774,1.87668,11.9019003,6.2004299,41.7435989,13190.7998,PUP
PUP091,7.267284408,466.42457,198.3998,18.3936,10,21.64863,-158.06447,1,0.873713,-4.0096798,0.204993,1.68827,0.228448,63.9255981,-1.3444,0,0.201739,88.1844025,5.2277002,2.2032001,0.0891711,0.463306,0.204699,-0.92831,3.61639,24.7525997,10.9020996,64.2844009,15436.2002,PUP
PUP092,2.320301751,958.8795,109.5636667,13.862,3,21.65564,-158.06403,0,0.607628,-7.4748998,1.5254101,5.95574,0.0336966,93.6763,-0.278337,0,11.1597004,61.921299,6.96103,0,0.281377,0.128732,0.388672,-0.958651,10.3066998,38.2141991,28.6173,71.0037003,15945.90039,PUP
PUP093,4.734829054,679.0725,196.4865,10.119,6,21.6512,-158.06438,1,0.885525,-6.1583099,1.0547301,3.71785,0.539805,57.2060013,-2.15955,0,1.6708699,61.4956017,0,5.8305402,0.888808,0.648911,0.201879,-0.807671,11.2439003,28.6378002,30.1033993,65.2714996,15695.5,PUP
PUP094,39.53068249,482.3418846,253.1085385,10.24130769,13,21.65238,-158.06302,1,0.842974,-3.15501,1.22111,5.53614,-0.291274,0,-2.67644,0,0,58.3446007,0,4.8076601,0.637587,0.0493015,0.143754,-0.900699,9.2925701,37.5197983,24.8085995,70.6288986,15724.90039,PUP
PUP095A,9.086137022,327.43624,240.912,15.2486,5,21.6544,-158.06433,1,0.406701,-14.5221996,-0.126644,-0.200188,0.0546702,70.4296036,-1.02715,0,60.8927994,10.2722998,28.6910992,0,0.229017,0.995064,0.679231,-0.98954,3.5769899,38.2154999,9.4152403,71.0057983,15888.2998,PUP
PUP096,2.928837108,614.46001,155.283,13.7589,10,21.64977,-158.06493,1,1.3172801,-7.1972799,0.0807673,1.45401,0.303257,87.4785004,-3.1421101,0,11.8348999,78.3412018,4.10116,1.53091,0.127632,0.615399,0.43035,-0.918045,5.7163901,28.4999008,20.7105999,64.6287994,15596.59961,PUP
PUP097,94.92103582,340.0569458,200.4996145,17.08548193,83,21.64901,-158.06423,1,0.57752,-2.7843201,0.919474,2.96823,-0.217726,11.1190004,-0.31145,0,0,63.6797981,0.0080284,0,0.775899,0.922588,4.92E-04,-0.958731,6.1989298,25.8476009,17.2756996,63.8049011,15468.5,PUP
PUP100,0,NA,NA,NA,1,21.6354,-158.07742,0,1.16883,-9.4670401,0.231252,0.54897,0.856912,557.6099854,0.541222,0,0,88.7087021,11.2912998,0,0.0380746,0.141401,0.270162,0.33847,2.9616101,13.2237997,10.0474005,41.6428986,13465.2998,PUP
PUP101,2.984566228,409.8377938,94.063875,12.923875,16,21.63027,-158.07788,0,0.867999,-5.2440901,0.0413526,0.373898,0.993783,392.0469971,-0.108827,0,0,98.5328979,1.46714,0,-0.11267,0.0042877,0.0361222,0.0045446,1.66582,15.8978996,6.2903199,51.9794998,10761.7998,PUP
PUP103,10.67874441,551.7982,228.26125,13.924125,8,21.63659,-158.07087,0,1.25401,-4.02601,0.0681728,0.334099,0.528463,163.2619934,-1.82278,0,0,99.9977036,0,0,0.05049,0,0,-0.358836,2.4699299,12.2874002,8.3203802,40.0371017,13218.7998,PUP
PUP106,41.56513833,559.602588,189.80936,13.491,25,21.63534,-158.07034,0,0.492722,-1.85682,0.534715,1.30644,0.376245,71.7869034,-1.2186199,0,0,82.2554016,0,0,0.178568,0,0,-0.905677,3.2458799,12.2376003,7.7774801,41.7435989,13088.90039,PUP
PUP108,1.264689918,342.59641,127.9768,15.4045,10,21.62982,-158.07488,0,0.98008,-2.0719299,0.188473,0.854387,0.0959532,128.6159973,-0.806794,0,0,99.0976028,0,0,0.0286186,0,0,-0.92808,2.35728,15.8978996,7.8585501,51.9794998,11599.90039,PUP
PUP110,1.123486119,546.832775,155.58875,12.21225,4,21.63612,-158.06953,0,0.662536,-2.17242,0.131944,1.5625,0.290156,84.8527985,1.43405,0,0,99.0261002,0,0,0.090942,0,0,-0.956979,2.4372499,12.5302,6.4164801,40.4962006,13097.90039,PUP
PUP111,2.017045849,421.0842,286.51,12.676,1,21.62622,-158.07654,0,0.235368,-0.320534,0.854429,1.75738,0.772232,25.1110001,-3.98087,0,0,41.7663994,0,0,-0.098064,0,0,-0.590315,1.67425,7.03934,7.0346198,25.1284008,10678.40039,PUP
PUP112,1.766550199,608.2835,234.761,7.95,1,21.62948,-158.07962,0,0.662458,-5.6592202,0,0,0.869369,466.4140015,0.450993,0,0,100,0,0,-0.0307061,0,0,-0.433679,1.28676,10.4701004,3.6575,39.9845009,10640.2998,PUP
PUP116,14.56536046,194.5045333,153.2325714,12.40047619,21,21.63602,-158.07665,0,0.797599,-10.9063997,0.27735,0.296281,0.723164,509.8729858,0.769917,0,0,88.1925964,11.8073997,0,-0.0410281,0,0.194339,0.0312987,2.5977399,13.8134003,7.7101798,42.9496994,13615.90039,PUP
PUP127,186.4259195,407.5162672,217.7435,12.41037931,58,21.66189,-158.05736,0,0.838255,-3.5829301,0.0354633,1.90193,0.624938,126.3270035,-1.6824501,0,0,0,0,99.936203,-0.0210778,0,0,-0.762061,2.81021,12.8954,9.0776997,41.0332985,16333.09961,PUP
PUP130,113.165972,542.9115943,210.5113143,12.4116,35,21.66713,-158.05421,0,0.753786,-8.7069998,0.0506206,-0.291285,0.758414,265.8349915,-0.128009,0,0,0,0,100,0.0142537,0,0,-0.627748,2.5661299,15.6015997,6.9018002,53.1124001,15789.40039,PUP
PUP135,26.49940747,478.195215,198.8982,14.57575,20,21.66893,-158.05298,0,0.858699,-9.6083498,0.0415883,-0.0939168,0.711011,357.9599915,-0.382829,0,0,0,0,100,-0.0317727,0,0,-0.667152,2.0472801,10.8723001,6.6048398,40.1427994,15699.2002,PUP
